;username;text;date
0;brilionet;"Gubernur DKI Jakarta Anies Baswedan kembali menerapkan pelaksanaan Pembatasan Sosial Berskala Besar atau PSBB Jakarta. ""Kita terpaksa kembali menerapkan Pembatasan Sosial Berskala Besar seperti pada masa awal pandemi dulu. Bukan lagi masa transisi, tapi PSBB awal dulu,"" ucap Anies (9/9).Pelaksanaan rem darurat, menurut Anies demi menyelamatkan masyarakat Jakarta karena tengah terjadi tren kenaikan kasus Covid-19 di Jakarta. Dia mengatakan saat ini ketersediaan tempat tidur isolasi sebanyak 4.800-an bisa penuh jika kondisi tidak berubah. ""Kami sampaikan malam ini sebagai ancang-ancang, mulai Senin 14 September kegiatan perkantoran yang non-esensial diharuskan melaksanakan kegiatan bekerja dari rumah,"" kata Anies menjelaskan.Sementara itu, jumlah pasien positif Covid-19 di Jakarta bertambah 1.026 kasus pada Rabu 9 September 2020. Dengan penambahan tersebut jumlah akumulatif pasien positif Covid-19 sebanyak 49.837 orang.30w";2020-09-10T01:17:03.000Z
1;brilionet;"Dikutip brilio.net dari liputan6.com, Pusat Pengelolaan Komplek Gelora Bung Karno (PPKGBK) mulai memperketat aturan bagi masyarakat yang ingin berkunjung ke kawasan tersebut, salah satunya dengan melarang ibu hamil dan anak-anak masuk kawasan kompleks GBK.Direktur Utama PPKGBK Winarto mengatakan, kebijakan tersebut diambil setelah pengelola menemukan masih banyak pengunjung, terutama di ring road SUGBK yang tidak melakukan protokol kesehatan. ""Dalam pengamatan kami, yang datang ini tidak bermaksud olahraga, tapi piknik. Mereka banyak yang membawa anak, bayi, dan kereta dorong. Mungkin hanya sekitar 40 persen yang betul-betul berolahraga,"" kata Winarto (18/6). Keputusan melarang ibu hamil, bayi, dan anak-anak juga tak serta merta diambil begitu saja. Menurut Winarto, kebijakan tersebut merupakan rekomendasi dari Ikatan Dokter Anak Indonesia.Selain melarang ibu hamil dan anak-anak di bawah usia 12 tahun, pengelola juga telah menetapkan kebijakan baru agar masyarakat bisa tetap aman dan nyaman dengan kebijakan jam operasional dimulai pada pukul 05.00-20.00 WIB, akses masuk ke kawasan GBK melalui Pintu 5 dan Pintu 10, dan area Ring Road Stadion Utama GBK hanya untuk pejalan kaki.Jangan lupa cek terus ya di www.brilio.net untuk hal-hal menarik, unik, langka dan info terupdate lainnya.42w";2020-06-19T03:08:35.000Z
2;brilionet;Presiden AS Donald Trump mengatakan dia dan ibu negara Melania Trump dinyatakan positif Covid-19.Dalam sebuah unggahan di Twitter pada Jumat (2/10), ia menyampaikan informasi tersebut. “Kami akan segera memulai proses karantina dan pemulihan kami. Kami akan melewati ini bersama!” tulis Trump.Sebelumnya, salah satu penasihat Presiden AS Donald Trump, Hope Hicks, dinyatakan positif terpapar Covid-19. Penasihat presiden itu sempat melakukan perjalanan bersama Trump dengan Air Force One ke debat presiden AS di Ohio pada Selasa kemarin.27w;2020-10-02T05:37:38.000Z
3;brilionet;"Pemprov DKI Jakarta memutuskan mengurangi kebijakan rem darurat dan kembali menerapkan Pembatasan Sosial Berskala Besar (PSBB) Transisi, mulai 12-25 Oktober 2020. Dengan pelonggaran itu, maka beberapa aktivitas Indoor boleh kembali diperbolehkan beroperasi, salah satunya bioskop. ""Dengan pengaturan tempat duduk secara ketat,"" kata Anies dalam keterangan tertulis, Minggu (11/10/2020).Aktivitas indoor yang dimaksud adalah bioskop, meeting, workshop, seminar, teater, akad nikah, pemberkatan, upacara pernikahan. Namun, kegiatan tersebut baru dapat dibuka saat PSBB Transisi dengan syarat harus melalui pengajuan persetujuan teknis oleh pengelola gedung kepada Pemprov DKI.Selain itu, terdapat enam syarat lainnya untuk dapat izin operasi saat PSBB Transisi, yakni:- Maksimal 25% kapasitas.- Jarak antar tempat duduk minimal 1,5 meter- Peserta dilarang berpindah-pindah tempat duduk, atau berlalu- lalang (melantai)- Alat makan-minum disterilisasi- Pelayanan makanan dilarang dalam bentuk prasmanan- Petugas memakai masker, face shield, dan sarung tangan.25w";2020-10-12T03:08:05.000Z
4;mitrakorpora.id;"Dilansir dari health.detik.com, saat seseorang terinfeksi virus Corona, berbagai gejala biasanya muncul seperti demam, batuk hingga diare. Bahkan sebagian lainnya ada juga yang tidak mengalami gejala apapun atau disebut dengan orang tanpa gejala (OTG).⁣⁣Namun dari beberapa gejala yang ada, kehilangan indra penciuman atau anosmia menjadi salah satu yang paling khas. Meskipun sering dialami saat seseorang flu, hal ini akan jauh lebih parah pada pasien COVID-19.⁣⁣Apa itu anosmia?⁣⁣Anosmia adalah kehilangan kemampuan indra penciuman yang biasanya dialami oleh seseorang yang sedang flu karena hidung tersumbat. Tetapi, belakangan kondisi ini sering sekali dialami para pasien COVID-19, diikuti dengan hilangnya kemampuan indra perasanya.⁣⁣Bagaimana kondisi itu bisa terjadi?⁣⁣Menurut penelitian, penyebab kehilangan penciuman ini bisa terjadi pada pasien COVID-19 karena adanya protein di permukaan beberapa sel manusia, yang bisa dengan mudah 'mengikat' virus Corona.⁣⁣""Ini adalah sel-sel yang ditemukan di jantung, paru-paru, usus, tenggorokan, dan hidung,"" tulis peneliti yang dikutip dari Science Focus, Senin (21/9/2020).⁣⁣Sampai kapan gejala itu akan terjadi?⁣⁣Berdasarkan studi lanjutan yang dilakukan, para ilmuwan pun mengamati pasien yang pulih dari COVID-19. Mereka menemukan bahwa neuron sensorik ini perlahan mulai kembali dari waktu ke waktu, tetapi efek jangka panjang gejala ini masih belum diketahui.⁣⁣""Beberapa pasien COVID-19 melaporkan setelah kemampuan indra penciuman mereka kembali, mereka mencium bau yang menyimpang (parosmia) dan bertahan selama berbulan-bulan,"" ujar Dr Lane.⁣⁣""Gangguan bau jangka panjang COVID-19 ini tidak biasa, sehingga perlu dilakukan studi lebih lanjut,"" imbuhnya.⁣⁣#mitrakorpora #mysafe #mysafeapp #beritaterkini #updatecovid19 #updatecovid #viral #updatecovid19indonesia #updatekorona #beritaindonesia #beritaviruscorona #covidindonesia #covidindo #beritacovid19 #viralindonesia #beritacovid #updatecovid #pakaimasker #beritaviral #beritaviralhariini #beritaviral_hits #covid19 #beritakorona #lawancovid19 #beritaterbaru #viralbanget22w";2020-11-02T11:20:30.000Z
5;seminar_um;"[MYOSIN WEBINAR SERIES PART 3]Yang ditunggu telah tiba!!•Hoax? Bagaimana jadi pribadi yang lebih bijak terhadap info ya?Bingung cara membuat konten kreatif dan inovatif disaat krisis?•Dengan bangga, Achilles mempersembahkan..•MYOSIN WEBINAR SERIES PART 3•🗓️ Minggu, 13 September 2020🕛 pukul 13.00-15.00 WIB📳 Live via zoom dan youtube di kanal Baksos FK UNAIR MYOSIN 2020🎟️ FREE regist🎁 E-SERTIF•Narasumber :• dr. Ricky Indra Alfarai (Health and Academic Influencer, PhD student in Japan)• Gita Savitri Devi, B. Sc ( Creators of Change Ambassador)Moderator:• Arya Satya Rajanegara, S. Ked (Founder Meniscus, Sekretaris Wilayah 4 ISMKI 2019/2020)MC:•Alfira Nailatul Izzah (Duta Favorit FK Unair 2018)Jadi, jangan lewatkan kesempatan mendapatkan Ilmu!Segera daftarkan dirimu,dan ajak orang-orang terdekat mu!•Di link>> bit.ly/WebinarMYOSIN2020Link di bio•"" Sedikit kebaikan yang kita berikan, bisa sangat berarti bagi mereka yang membutuhkan""Myosin 2020•#BaksosFKUNAIR #MYOSIN2020#FKUNAIR#MulaiBerbuat #Maribermanfaat #mulaiajadulu #Pejuangmanfaat#WEBINAR #webinargratis #webinarseries #webinarkesehatan #covid19 #covid_19 #covidindonesia #covidjatim #newnormal #newnormal2020 #kebiasaanbaru #kebiasaanbaru2020 #produktif #millenial #seminar_um29w";2020-09-12T07:05:50.000Z
6;mitrakorpora.id;Dilansir dari pandemictalks, momen pengetukan palu akan RUU Cipta Kerja atau #omnibuslaw saat pandemi berlangsung telah memantik keramaian-keramaian demontrasi oleh beberapa buruh dan rakyat di beberapa daerah. Sebuah keputusan yang tidak tepat momentumnya, karena menimbulkan reaksi buruk bagi pandemi, yaitu⁣⁣⁣⁣1. Keramaian dalam jarak dekat⁣, kemungkinan ada beberapa orang tidak menggunakan masker.⁣2. Durasi keramaian lama⁣.⁣3. Droplets/aerosol yang berterbaran saat orasi⁣. Orang berteriak mengeluarkan banyak Droplets.⁣4. Dan paling bahaya adalah tiada TESTING dan TRACING saat/sesudah demonstrasi berlangsung.⁣⁣⁣⁣Karena dikhawatirkan akan muncul klaster besar demo, lalu bermigrasi ke klaster keluarga juga klaster kantor/pabrik. Super-Spreader event juga dikhawatirkan terjadi.⁣⁣Untuk itu, demi mencegah penyebaran virus korona saat demonstrasi tetap disiplin menerapkan protokol kesehatan ya safe people!⁣⁣⁣Berikut ini adalah cara demostrasi yang aman dan sehat saat pandemi⁣⁣1. Gunakan masker⁣2. Gunakan pelindung mata/kacamata untuk mengurangi transmisi virus melalui mata.⁣3. Jaga jarak minimum 2 meter dengan peserta demo lainnya⁣4. Usahan jangan berada di posisi tengah barisan demonstrasi, namun di ujung luar garis deminstrasi. Selain itu, perhatikan arah angin untuk minimalisir penyebaran aerosol.⁣⁣⁣#mitrakorpora #mysafe #mysafeapp #beritaterkini #updatecovid19 #updatecovid #viral #updatecovid19indonesia #updatekorona #beritaindonesia #beritaviruscorona #covidindonesia #covidindo #beritacovid19 #viralindonesia #beritacovid #updatecovid #pakaimasker #beritaviral #beritaviralhariini #beritaviral_hits #covid19 #beritakorona #lawancovid19 #beritaterbaru #viralbanget23w;2020-10-27T11:00:36.000Z
7;vidteutic;Najwa mewawancarai kursi kosong?Acara mata najwa kini menjadi sorotan dikarenakan suatu momen ketika najwa mewawancari kursi yang tidak ada orang padahal memang sebelumnya dia mengundang mentri kesehatan namun tidak hadir dan dia tetap melajutkan acara dengan mewawancari kursi kosong wow. Menurut kalian gimana?...Credit tertera di video 😊Source: Tiktok..Jangan lupa follow Vidteutic ya gaes 😊@vidteutic@vidteutic@vidteutic..#najwashihab #terawan #covid #covidindonesia27w;2020-09-29T13:02:46.000Z
8;turono86;Ternyata Poto saya dari kecil sudah pakai masker😷😀😎.#protokolkesehatan#memakaimasker#covidindonesia#covid19indonesia30w;2020-09-07T12:44:19.000Z
9;tkl_official_store;"""Dunia ini ibarat bayangan,kalau kamu berusaha menangkapnya,ia akan lari.Tapi kalau kamu membelakanginya,ia tak punya pilihan selain mengikutimu.""- Ibnu Qayyim Al Jauziyyah -#indonesiatangguh #indonesiasehatdarirumah #indonesiajuara #sehatnegeriku #semangat #semangatindonesia #semangatpagi💪 #katakatabijak #islamicquotes #nasehat #nasehatislam #covidindonesia #lawancovid19 #quotereligi #quotesoftheday #pesan #pesanibu #ingatpesanibu #moslemquotes25w";2020-10-12T03:35:19.000Z
